"Date","Price","Open","High","Low","Vol.","Change %"
"02-07-2025","25,403.80","25,588.30","25,605.40","25,385.35","233.35M","-0.54%"
"01-07-2025","25,541.80","25,551.35","25,593.40","25,501.80","260.67M","0.10%"
"30-06-2025","25,517.05","25,661.65","25,669.35","25,473.30","270.98M","-0.47%"
"27-06-2025","25,637.80","25,576.65","25,654.20","25,523.55","563.96M","0.35%"
"26-06-2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"25-06-2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"24-06-2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"23-06-2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"20-06-2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"19-06-2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"18-06-2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"17-06-2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"16-06-2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"13-06-2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"12-06-2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
"11-06-2025","25,141.40","25,134.15","25,222.40","25,081.30","301.25M","0.15%"
"10-06-2025","25,104.25","25,196.05","25,199.30","25,055.45","307.32M","0.00%"
"09-06-2025","25,103.20","25,160.10","25,160.10","25,077.15","279.22M","0.40%"
"06-06-2025","25,003.05","24,748.70","25,029.50","24,671.45","335.58M","1.02%"
"05-06-2025","24,750.90","24,691.20","24,899.85","24,613.10","388.41M","0.53%"
"04-06-2025","24,620.20","24,560.45","24,644.25","24,530.45","280.86M","0.32%"
"03-06-2025","24,542.50","24,786.30","24,845.10","24,502.15","349.29M","-0.70%"
"02-06-2025","24,716.60","24,669.70","24,754.40","24,526.15","311.10M","-0.14%"
